                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.8968,                 2.6989,                 2.2306,                0.51339,                0.21303,                0.13802,                 0.0455,                 2.8511,                 2.3333,                 2.2269,             0.00080883,             0.00080883,             0.00080883
                     54,                  2.973,                 2.4965,                 2.2698,                0.51339,                0.21303,                0.13802,                 0.0455,                 2.8511,                 2.3333,                 2.2269,             0.00079233,             0.00079233,             0.00079233
                     55,                 2.8796,                 2.4687,                 2.1662,                0.43068,                0.25061,                0.15167,                0.04864,                  2.822,                 2.3709,                 2.1968,             0.00077582,             0.00077582,             0.00077582
                     56,                 2.8153,                 2.5393,                 2.2876,                0.43068,                0.25061,                0.15167,                0.04864,                  2.822,                 2.3709,                 2.1968,             0.00075932,             0.00075932,             0.00075932
                     57,                 2.8161,                 2.2185,                 2.1558,                  0.446,                0.25713,                0.14139,                0.04498,                 2.7934,                 2.9403,                 2.2057,             0.00074282,             0.00074282,             0.00074282
                     58,                 2.8599,                 2.4044,                 2.2232,                 0.4679,                0.27903,                0.15882,                0.05245,                 2.7382,                 2.4933,                 2.1707,             0.00072631,             0.00072631,             0.00072631
                     59,                 2.8866,                 2.4624,                 2.2885,                 0.4679,                0.27903,                0.15882,                0.05245,                 2.7382,                 2.4933,                 2.1707,             0.00070981,             0.00070981,             0.00070981
                     60,                 2.6335,                 2.3117,                 2.1145,                 0.4908,                0.27796,                0.19543,                0.06093,                 2.7547,                 1.9378,                 2.1685,             0.00069331,             0.00069331,             0.00069331
                     61,                 2.7282,                 2.5186,                 2.2629,                 0.4908,                0.27796,                0.19543,                0.06093,                 2.7547,                 1.9378,                 2.1685,              0.0006768,              0.0006768,              0.0006768
                     62,                  2.878,                 2.4038,                 2.2374,                0.51291,                0.24701,                0.21423,                 0.0663,                 2.7393,                 1.8872,                 2.1244,              0.0006603,              0.0006603,              0.0006603
                     63,                 2.8929,                 2.1514,                 2.2686,                0.51291,                0.24701,                0.21423,                 0.0663,                 2.7393,                 1.8872,                 2.1244,              0.0006438,              0.0006438,              0.0006438
