                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.69717,                0.41408,                0.85819,                  0.927,                0.77231,                0.85628,                0.56697,                 1.1489,                0.59671,                 1.0504,             0.00024762,             0.00024762,             0.00024762
                     83,                0.71812,                0.42576,                0.86955,                0.93749,                0.76578,                0.85515,                0.56074,                 1.1474,                0.58774,                 1.0477,             0.00023525,             0.00023525,             0.00023525
                     84,                0.70623,                0.41744,                0.86181,                0.93081,                 0.7867,                0.86171,                0.57709,                 1.1024,                0.59525,                 1.0342,             0.00022288,             0.00022288,             0.00022288
                     85,                 0.7113,                0.41343,                0.86296,                0.92475,                0.76447,                0.84705,                0.56388,                 1.0939,                0.60778,                 1.0256,              0.0002105,              0.0002105,              0.0002105
                     86,                0.71269,                 0.4136,                0.86063,                0.93364,                0.76464,                0.84846,                0.57204,                 1.0986,                0.59086,                 1.0333,             0.00019813,             0.00019813,             0.00019813
                     87,                0.69207,                0.41843,                0.86975,                0.93837,                0.75013,                0.85603,                0.57461,                 1.1065,                0.56825,                 1.0439,             0.00018575,             0.00018575,             0.00018575
                     88,                0.69322,                0.40982,                0.86285,                0.92095,                0.77897,                0.85315,                0.57456,                 1.1112,                0.56755,                 1.0399,             0.00017338,             0.00017338,             0.00017338
                     89,                0.66869,                0.40183,                0.86027,                0.91656,                0.78201,                0.85143,                0.57558,                 1.1222,                 0.5808,                 1.0318,               0.000161,               0.000161,               0.000161
                     90,                0.69744,                0.40551,                0.86017,                0.89744,                0.79431,                0.85671,                 0.5818,                 1.1208,                0.56779,                 1.0355,             0.00014862,             0.00014862,             0.00014862
                     91,                0.69477,                0.41132,                 0.8516,                0.92958,                0.78129,                 0.8572,                0.57543,                  1.131,                0.55682,                 1.0416,             0.00013625,             0.00013625,             0.00013625
                     92,                0.65533,                0.38542,                0.83468,                0.93492,                0.78424,                0.85698,                0.57871,                 1.1251,                0.57703,                 1.0437,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.6648,                0.38523,                  0.838,                0.94909,                0.79055,                0.85667,                0.57118,                 1.1327,                0.57183,                 1.0461,              0.0001115,              0.0001115,              0.0001115
                     94,                0.63402,                0.37835,                0.83073,                 0.9399,                0.79705,                0.86425,                0.57271,                 1.1267,                 0.5706,                 1.0529,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.65408,                 0.3824,                0.83237,                0.91675,                0.79927,                0.85901,                0.56604,                 1.1288,                0.58316,                 1.0495,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.63705,                0.37616,                0.82964,                0.92256,                 0.7916,                 0.8631,                0.56847,                 1.1207,                0.57846,                 1.0383,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.64968,                0.38143,                0.83426,                0.92765,                0.78701,                 0.8593,                0.57711,                 1.1149,                0.57842,                 1.0375,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.63157,                0.37216,                  0.832,                0.93265,                0.77463,                0.85987,                 0.5685,                  1.123,                0.58661,                 1.0414,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.6196,                0.36319,                0.83373,                0.93789,                 0.7802,                0.86106,                 0.5676,                  1.119,                0.58398,                 1.0427,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.63284,                0.36569,                 0.8291,                 0.9306,                0.78087,                0.86376,                0.56933,                 1.1177,                0.58195,                  1.044,             2.4875e-05,             2.4875e-05,             2.4875e-05
